Name,Email,Comments,Current balance,Initial balance,Sum of bills,Sum of payments received,Feb 2018 cans,Feb 2018 bill,Feb 2019 cans,Feb 2019 bill
???,sacm.coke.czar@gmail.com,Feb 2019 tally,$1.80,$0.00,$1.80 ,$0.00 ,0,$0.00 ,3,$1.80 
???,sacm.coke.czar@gmail.com,Feb 2019 tally; email unclear,$0.60,$0.00,$0.60 ,$0.00 ,0,$0.00 ,1,$0.60 
Random Name1,sacm.coke.czar@gmail.com,,$40.00,-$5.00,$45.00 ,$0.00 ,38,$22.80 ,37,$22.20 
Random Name2,sacm.coke.czar@gmail.com,,$18.60,$0.00,$18.60 ,$0.00 ,31,$18.60 ,,$0.00 
Random Name3,sacm.coke.czar@gmail.com,,-$0.40,-$0.40,$0.00 ,$0.00 ,0,$0.00 ,,$0.00 
Random Name4,sacm.coke.czar@gmail.com,,$0.60,$0.00,$0.60 ,$0.00 ,1,$0.60 ,,$0.00 
Random Name5,sacm.coke.czar@gmail.com,,-$0.20,-$0.20,$0.00 ,$0.00 ,0,$0.00 ,,$0.00 
,,,$670.10 ,,,,,$318.60 ,,$0.00 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
